-83-42i	218-42i	72-180i	-42-171i	284-20i	557-2441i	-1481+2533i	2598-297i
97+274i	37-28i	115-381i	34+89i	1313+586i	-1478+631i	163+898i	2293-2338i
-103-25i	-126-145i	231+270i	104-20i	1705+145i	530-1429i	2099-1720i	3354+152i
108+178i	-54-54i	-225-49i	178+420i	-1336+731i	896-894i	675+2249i	-684+1602i
-23+27i	-300+220i	-70-204i	-224-27i	354-346i	-686+2266i	-3958-605i	964-2533i
312+86i	-225+54i	-26+44i	-37-17i	1359-774i	-662-927i	-956-1821i	2441-1680i
-29+78i	212+3i	-74+97i	185-71i	1920-686i	-363+1604i	1573-677i	-145-4108i
121+154i	145+26i	-75+60i	-259-99i	-1266-344i	97+1004i	-1075-1809i	-1993+635i
-39+93i	61-91i	-15-113i	177+254i	222-117i	1028-2574i	206+2738i	1832-1764i
-77+1i	-14+52i	29-284i	65+78i	1132+713i	-1470-186i	516+44i	78-3134i
35-116i	227-169i	-201-46i	257-6i	1549-252i	759-967i	1273-3158i	2583-1865i
115+40i	229+127i	-168-439i	-267+176i	-1091+545i	1038-431i	1818+1819i	819+1365i
3+205i	118-18i	61+194i	306-176i	295-830i	-1177+1943i	-4355+1006i	-992-2561i
-149-127i	310-209i	8+257i	-88+2i	1571-841i	-147-908i	-1742-1843i	349-2933i
-5-8i	-7-4i	85+216i	-148-246i	2164-436i	-1024+1267i	494-626i	-2805-2801i
-103+9i	-101-161i	83-178i	279-183i	-1372-255i	-313+978i	-1734-960i	-842+1781i
199-153i	-23+161i	7+11i	-175+123i	31+104i	2026-2185i	76-2186i	1059+1529i
-174-76i	-23+110i	-90-201i	-77+85i	1179+404i	-1632-985i	-2112-2236i	152-161i
-279+1i	-237-167i	151+157i	-36+29i	1708-100i	857-912i	448-3109i	-63-4370i
-120+126i	-118+40i	-177+31i	111+216i	-919+568i	1623+93i	1214+300i	2407+1405i
-165-176i	184-71i	142+164i	246+132i	259-907i	-1878+1376i	-2562-1288i	-3894+2721i
-32-8i	-192+15i	56-216i	19+101i	1457-927i	-2-628i	-1620-2135i	-2588-1488i
-310-24i	31+173i	-110+133i	309-103i	1546-229i	-1332+1265i	-4216+194i	-146-379i
63+82i	120-52i	-101+16i	-31-71i	-1581-305i	-571+1054i	158+1775i	-1839+316i
-268+302i	300-68i	233+44i	-134-57i	115-124i	2730-1495i	-1183-1589i	1336+615i
-315+49i	-44-43i	157-88i	-16-98i	676+434i	-1549-1707i	-3093-294i	-549-603i
8+60i	158-365i	-176-263i	-45+270i	1682-34i	1021-640i	-1269-1785i	-1294-4729i
60+12i	-31+115i	3+65i	-12-95i	-810+881i	1430+691i	661-592i	3013+801i
-1-9i	14-94i	-124-21i	218-198i	242-823i	-1741+829i	-2642+873i	-2738+4336i
-193-130i	120+63i	-40+80i	-90-127i	1189-848i	139-925i	-2480-439i	-3136-485i
371-1i	292+142i	135-337i	-112+114i	1661-785i	-1677+345i	-2960+3083i	-328+377i
-31-178i	493+50i	59-15i	103+7i	-1063+102i	-479+628i	1615+762i	-1496+1327i
-82+54i	7+174i	217+89i	-115+5i	86-510i	2975-643i	-1581-202i	1161-604i
-33+47i	83-56i	45-70i	6-72i	614+297i	-746-2237i	-2304+1681i	-1310-766i
18-35i	191+57i	-45+262i	-73+71i	1349-156i	1184-683i	-2005-718i	-3357-4097i
30+30i	-196-111i	293-146i	-106+42i	-497+712i	1084+1363i	98-623i	3137-542i
-98-63i	16-183i	-60-25i	337-59i	224-1014i	-1659-8i	-1433+2153i	-1211+5203i
-46+7i	-91-69i	-27-244i	-125-12i	993-987i	330-1200i	-1784+739i	-3538+347i
-36+160i	-220+334i	-92+111i	60-143i	1435-798i	-1753-267i	-16+4118i	-493+891i
-316+55i	239+109i	-115-251i	202-125i	-922+101i	-693+730i	1833-336i	-573+1641i
21-14i	82+108i	75-24i	202-129i	-372-247i	3313+611i	-2011+678i	591-1174i
243-194i	24-15i	-76+78i	29+129i	530-178i	806-2705i	-385+2441i	-2107-336i
-189+9i	240+131i	-129+159i	78-247i	1236-408i	1596-239i	-1788+776i	-4642-2521i
11+69i	291-40i	29-46i	301-49i	-236+885i	219+2131i	-378-287i	2684-1137i
-146+242i	139+10i	142+82i	61-216i	-38-1013i	-1636-249i	383+2626i	648+5172i
173-125i	66+126i	-23+160i	-59+75i	1013-1065i	799-1291i	-665+1582i	-3449+1797i
